run_id,kernel,mode,bound_mode,iteration,breaks,f_mhz,II,raw_AHA_II,effective_power_II,P_mean_mW,P_mean_dyn_mW,P_mean_leak_mW,P_upper_anchor_mW,P_upper_spec_mW,P_upper_robust_mW,P_effective_stop_upper_mW,cap_mW,safe,stopped_here,active_after,P_oracle_mW,success,delta_cap_pct
SIM_DIR-1784852438,SIM_DIR,baseline,,0,0,57.0,0.0,0.0,1.0,127.14166957524642,127.12374913727179,0.01792043797463843,184.3554208841073,165.28417044782034,,165.28417044782034,,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_i,,0,0,57.0,0.0,0.0,1.0,127.14166957524642,127.12374913727179,0.01792043797463843,184.3554208841073,165.28417044782034,,165.28417044782034,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_ii,,0,0,57.0,0.0,0.0,1.0,127.14166957524642,127.12374913727179,0.01792043797463843,197.54166957524643,171.14166957524642,,171.14166957524642,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_1x,fit_1x,0,0,57.0,0.0,0.0,1.0,127.14166957524642,127.12374913727179,0.01792043797463843,,,133.59785703211003,133.59785703211003,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_2x,fit_2x,0,0,57.0,0.0,0.0,1.0,127.14166957524642,127.12374913727179,0.01792043797463843,,,139.95404448897364,139.95404448897364,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_activity,fit_activity,0,0,57.0,0.0,0.0,1.0,127.14166957524642,127.12374913727179,0.01792043797463843,,,138.68280699760092,138.68280699760092,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,0,0,57.0,0.0,0.0,1.0,127.14166957524642,127.12374913727179,0.01792043797463843,,,142.49651947171904,142.49651947171904,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_full,full,0,0,57.0,0.0,0.0,1.0,127.14166957524642,127.12374913727179,0.01792043797463843,,,146.31023194583722,146.31023194583722,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,baseline,,1,1,61.0,0.0,0.0,1.0,136.23478076989147,136.21686033191682,0.01792043797463843,197.54043211634263,177.10521500085892,,177.10521500085892,,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_i,,1,1,61.0,0.0,0.0,1.0,136.23478076989147,136.21686033191682,0.01792043797463843,197.54043211634263,177.10521500085892,,177.10521500085892,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_ii,,1,1,61.0,0.0,0.0,1.0,136.23478076989147,136.21686033191682,0.01792043797463843,206.63478076989148,180.23478076989147,,180.23478076989147,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_1x,fit_1x,1,1,61.0,0.0,0.0,1.0,136.23478076989147,136.21686033191682,0.01792043797463843,,,143.14562378648733,143.14562378648733,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_2x,fit_2x,1,1,61.0,0.0,0.0,1.0,136.23478076989147,136.21686033191682,0.01792043797463843,,,149.95646680308317,149.95646680308317,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_activity,fit_activity,1,1,61.0,0.0,0.0,1.0,136.23478076989147,136.21686033191682,0.01792043797463843,,,148.59429819976398,148.59429819976398,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,1,1,61.0,0.0,0.0,1.0,136.23478076989147,136.21686033191682,0.01792043797463843,,,152.68080400972153,152.68080400972153,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_full,full,1,1,61.0,0.0,0.0,1.0,136.23478076989147,136.21686033191682,0.01792043797463843,,,156.767309819679,156.767309819679,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,baseline,,2,2,65.0,0.0,0.0,1.0,145.35036280999512,145.33244237202047,0.01792043797463843,210.7580260744929,188.95547165299365,,188.95547165299365,,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_i,,2,2,65.0,0.0,0.0,1.0,145.35036280999512,145.33244237202047,0.01792043797463843,210.7580260744929,188.95547165299365,,188.95547165299365,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_ii,,2,2,65.0,0.0,0.0,1.0,145.35036280999512,145.33244237202047,0.01792043797463843,215.75036280999512,189.35036280999512,,189.35036280999512,1100.0,True,False,True,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_1x,fit_1x,2,2,65.0,0.0,0.0,1.0,145.35036280999512,145.33244237202047,0.01792043797463843,,,152.71698492859613,152.71698492859613,1100.0,True,False,True,,,
