run_id,kernel,mode,bound_mode,iteration,breaks,f_mhz,II,raw_AHA_II,effective_power_II,P_mean_mW,P_mean_dyn_mW,P_mean_leak_mW,P_upper_anchor_mW,P_upper_spec_mW,P_upper_robust_mW,P_effective_stop_upper_mW,cap_mW,safe,stopped_here,active_after,P_oracle_mW,success,delta_cap_pct
SIM_DIR-1784855095,SIM_DIR,baseline,,0,0,55.0,0.0,0.0,1.0,145.36881451213839,145.34822845341554,0.02058605872284101,210.78478104260066,188.97945886577992,,188.97945886577992,,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_i,,0,0,55.0,0.0,0.0,1.0,145.36881451213839,145.34822845341554,0.02058605872284101,210.78478104260066,188.97945886577992,,188.97945886577992,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_ii,,0,0,55.0,0.0,0.0,1.0,145.36881451213839,145.34822845341554,0.02058605872284101,228.56881451213837,197.36881451213839,,197.36881451213839,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_1x,fit_1x,0,0,55.0,0.0,0.0,1.0,145.36881451213839,145.34822845341554,0.02058605872284101,,,152.73622593480914,152.73622593480914,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_2x,fit_2x,0,0,55.0,0.0,0.0,1.0,145.36881451213839,145.34822845341554,0.02058605872284101,,,160.00363735747996,160.00363735747996,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_activity,fit_activity,0,0,55.0,0.0,0.0,1.0,145.36881451213839,145.34822845341554,0.02058605872284101,,,158.55015507294578,158.55015507294578,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,0,0,55.0,0.0,0.0,1.0,145.36881451213839,145.34822845341554,0.02058605872284101,,,162.91060192654825,162.91060192654825,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_full,full,0,0,55.0,0.0,0.0,1.0,145.36881451213839,145.34822845341554,0.02058605872284101,,,167.27104878015072,167.27104878015072,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,baseline,,1,1,58.0,0.0,0.0,1.0,153.46418591809115,153.4435998593683,0.02058605872284101,222.52306958123216,199.5034416935185,,199.5034416935185,,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_i,,1,1,58.0,0.0,0.0,1.0,153.46418591809115,153.4435998593683,0.02058605872284101,222.52306958123216,199.5034416935185,,199.5034416935185,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_ii,,1,1,58.0,0.0,0.0,1.0,153.46418591809115,153.4435998593683,0.02058605872284101,236.66418591809116,205.46418591809115,,205.46418591809115,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_1x,fit_1x,1,1,58.0,0.0,0.0,1.0,153.46418591809115,153.4435998593683,0.02058605872284101,,,161.23636591105955,161.23636591105955,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_2x,fit_2x,1,1,58.0,0.0,0.0,1.0,153.46418591809115,153.4435998593683,0.02058605872284101,,,168.908545904028,168.908545904028,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_activity,fit_activity,1,1,58.0,0.0,0.0,1.0,153.46418591809115,153.4435998593683,0.02058605872284101,,,167.3741099054343,167.3741099054343,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,1,1,58.0,0.0,0.0,1.0,153.46418591809115,153.4435998593683,0.02058605872284101,,,171.97741790121535,171.97741790121535,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_full,full,1,1,58.0,0.0,0.0,1.0,153.46418591809115,153.4435998593683,0.02058605872284101,,,176.5807258969964,176.5807258969964,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,baseline,,2,2,61.0,0.0,0.0,1.0,161.57678211968724,161.5561960609644,0.02058605872284101,234.2863340735465,210.0498167555934,,210.0498167555934,,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_i,,2,2,61.0,0.0,0.0,1.0,161.57678211968724,161.5561960609644,0.02058605872284101,234.2863340735465,210.0498167555934,,210.0498167555934,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_ii,,2,2,61.0,0.0,0.0,1.0,161.57678211968724,161.5561960609644,0.02058605872284101,244.77678211968725,213.57678211968724,,213.57678211968724,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_1x,fit_1x,2,2,61.0,0.0,0.0,1.0,161.57678211968724,161.5561960609644,0.02058605872284101,,,169.75459192273544,169.75459192273544,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_2x,fit_2x,2,2,61.0,0.0,0.0,1.0,161.57678211968724,161.5561960609644,0.02058605872284101,,,177.83240172578368,177.83240172578368,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_activity,fit_activity,2,2,61.0,0.0,0.0,1.0,161.57678211968724,161.5561960609644,0.02058605872284101,,,176.21683976517403,176.21683976517403,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,2,2,61.0,0.0,0.0,1.0,161.57678211968724,161.5561960609644,0.02058605872284101,,,181.06352564700293,181.06352564700293,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,capstone_iii_full,full,2,2,61.0,0.0,0.0,1.0,161.57678211968724,161.5561960609644,0.02058605872284101,,,185.9102115288319,185.9102115288319,1300.0,True,False,True,,,
SIM_DIR-1784855095,SIM_DIR,baseline,,3,3,66.0,0.0,0.0,1.0,175.00927934418112,174.98869328545828,0.02058605872284101,253.76345504906263,227.51206314743547,,227.51206314743547,,True,False,True,,,
