run_id,kernel,mode,bound_mode,K,retained_count,evaluated_candidates,trajectory_iterations,trajectory_breaks,stopped_at_iteration,stopped_at_breaks,selected_iteration,selected_breaks,selected_freq_mhz,baseline_freq_mhz,norm_freq_vs_baseline,full_bounds_freq_mhz,norm_freq_vs_full_bounds,P_mean_mW,P_upper_mW,power_cap_mW,predicted_headroom_mW,calibration_source,anchor_has_finite_conformal_guarantee,P_oracle_mW,success,delta_cap_pct
SIM_DIR-1784863204,SIM_DIR,baseline,,4,3,123,122,122,,,122,122,481.0,481.0,1.0,366.0,1.314207650273224,909.4408560842875,1318.6892413222167,,,,,,,
SIM_DIR-1784863204,SIM_DIR,capstone_i,,4,4,68,122,122,67,67,61,61,294.0,481.0,0.6112266112266113,366.0,0.8032786885245902,510.2386353787169,739.8460212991395,750.0,10.153978700860534,,,,,
SIM_DIR-1784863204,SIM_DIR,capstone_ii,,4,4,73,122,122,72,72,67,67,335.0,481.0,0.6964656964656964,366.0,0.9153005464480874,586.580533709162,747.3805337091619,750.0,2.6194662908380906,/aha/archipelago/archipelago/coeffs/capstone_ii_calibration.json,False,,,
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_1x,fit_1x,4,4,85,122,122,84,84,83,83,396.0,481.0,0.8232848232848233,366.0,1.0819672131147542,709.642156309289,745.2235063434609,750.0,4.77649365653906,,,,,
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_2x,fit_2x,4,4,80,122,122,79,79,78,78,382.0,481.0,0.7941787941787942,366.0,1.0437158469945356,679.6690036111712,747.734388409703,750.0,2.2656115902969987,,,,,
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_activity,fit_activity,4,4,80,122,122,79,79,78,78,382.0,481.0,0.7941787941787942,366.0,1.0437158469945356,679.6690036111712,740.9378499298498,750.0,9.06215007015021,,,,,
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,4,4,76,122,122,75,75,74,74,375.0,481.0,0.7796257796257796,366.0,1.0245901639344261,663.3687902586785,743.0712264146174,750.0,6.928773585382601,,,,,
SIM_DIR-1784863204,SIM_DIR,capstone_iii_full,full,4,4,74,122,122,73,73,72,72,366.0,481.0,0.760914760914761,366.0,1.0,645.568474880041,742.5014727681692,750.0,7.498527231830849,,,,,
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_1x,fit_1x,90,84,85,122,122,84,84,83,83,396.0,481.0,0.8232848232848233,366.0,1.0819672131147542,709.642156309289,745.2235063434609,750.0,4.77649365653906,,,,,
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_2x,fit_2x,90,79,80,122,122,79,79,78,78,382.0,481.0,0.7941787941787942,366.0,1.0437158469945356,679.6690036111712,747.734388409703,750.0,2.2656115902969987,,,,,
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_activity,fit_activity,90,79,80,122,122,79,79,78,78,382.0,481.0,0.7941787941787942,366.0,1.0437158469945356,679.6690036111712,740.9378499298498,750.0,9.06215007015021,,,,,
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,90,75,76,122,122,75,75,74,74,375.0,481.0,0.7796257796257796,366.0,1.0245901639344261,663.3687902586785,743.0712264146174,750.0,6.928773585382601,,,,,
SIM_DIR-1784863204,SIM_DIR,capstone_iii_full,full,90,73,74,122,122,73,73,72,72,366.0,481.0,0.760914760914761,366.0,1.0,645.568474880041,742.5014727681692,750.0,7.498527231830849,,,,,
SIM_DIR-1784863204,SIM_DIR,capstone_iii_full,full,8,8,74,122,122,73,73,72,72,366.0,481.0,0.760914760914761,366.0,1.0,645.568474880041,742.5014727681692,750.0,7.498527231830849,,,,,
SIM_DIR-1784863204,SIM_DIR,capstone_iii_full,full,4,4,74,122,122,73,73,72,72,366.0,481.0,0.760914760914761,366.0,1.0,645.568474880041,742.5014727681692,750.0,7.498527231830849,,,,,
